iter	Passed	Remaining
0	3	3177
1	6	3227
2	9	3229
3	12	3230
4	15	3082
5	18	3048
6	22	3128
7	25	3170
8	28	3137
9	31	3125
10	34	3065
11	38	3149
12	41	3123
13	44	3127
14	47	3108
15	50	3111
16	53	3098
17	56	3077
18	58	3035
19	62	3041
20	66	3093
21	69	3105
22	72	3081
23	74	3045
24	78	3045
25	81	3047
26	84	3055
27	88	3056
28	91	3062
29	94	3071
30	98	3065
31	100	3039
32	102	3012
33	106	3024
34	109	3030
35	112	3017
36	115	3002
37	119	3018
38	124	3058
39	127	3056
40	129	3037
41	132	3030
42	136	3031
43	139	3032
44	141	3011
45	144	2991
46	147	2991
47	150	2993
48	155	3024
49	158	3019
50	163	3040
51	167	3060
52	172	3084
53	177	3111
54	184	3168
55	190	3208
56	193	3208
57	199	3247
58	203	3246
59	207	3251
60	211	3253
61	214	3250
62	218	3244
63	221	3244
64	225	3240
65	230	3257
66	235	3272
67	239	3277
68	242	3269
69	244	3251
70	250	3281
71	253	3263
72	255	3244
73	258	3238
74	261	3227
75	265	3233
76	268	3219
77	271	3209
78	274	3199
79	278	3206
80	281	3199
81	284	3183
82	287	3176
83	291	3181
84	295	3178
85	298	3168
86	300	3155
87	305	3168
88	310	3182
89	314	3175
90	317	3170
91	321	3168
92	324	3160
93	326	3147
94	329	3141
95	333	3140
96	336	3134
97	339	3126
98	342	3119
99	346	3122
100	350	3115
101	352	3106
102	355	3094
103	358	3085
104	362	3086
105	365	3081
106	367	3070
107	370	3057
108	373	3055
109	377	3051
110	380	3046
111	382	3033
112	385	3026
113	388	3019
114	392	3017
115	395	3011
116	400	3021
117	405	3029
118	410	3037
119	413	3034
120	417	3036
121	421	3034
122	425	3031
123	428	3025
124	431	3022
125	435	3023
126	438	3016
127	442	3011
128	445	3006
129	448	3003
130	451	2997
131	454	2991
132	458	2989
133	462	2991
134	466	2986
135	469	2979
136	473	2981
137	479	2996
138	485	3006
139	492	3023
140	498	3038
141	504	3050
142	510	3058
143	515	3061
144	524	3090
145	530	3103
146	537	3121
147	543	3130
148	549	3141
149	553	3135
150	556	3128
151	559	3122
152	563	3121
153	567	3117
154	570	3111
155	574	3107
156	579	3111
157	582	3104
158	590	3124
159	595	3125
160	598	3119
161	601	3110
162	604	3103
163	608	3100
164	611	3096
165	614	3089
166	618	3082
167	621	3080
168	625	3075
169	628	3068
170	631	3061
171	636	3061
172	639	3055
173	642	3049
174	645	3041
175	649	3040
176	653	3037
177	655	3028
178	658	3020
179	661	3012
180	664	3007
181	667	3000
182	669	2989
183	671	2980
184	675	2974
185	678	2971
186	681	2964
187	684	2954
188	686	2946
189	689	2937
190	692	2933
191	695	2927
192	697	2917
193	700	2911
194	702	2901
195	706	2897
196	709	2891
197	711	2881
198	714	2874
199	716	2865
200	719	2861
201	723	2858
202	726	2853
203	730	2849
204	733	2843
205	736	2838
206	739	2831
207	741	2823
208	744	2816
209	747	2813
210	751	2808
211	753	2801
212	756	2795
213	759	2789
214	763	2789
215	766	2781
216	768	2774
217	771	2768
218	775	2763
219	778	2760
220	781	2754
221	783	2747
222	786	2740
223	790	2739
224	794	2737
225	798	2734
226	801	2729
227	806	2731
228	809	2725
229	811	2718
230	879	2926
231	883	2925
232	886	2918
233	898	2940
234	902	2938
235	905	2931
236	907	2923
237	911	2919
238	914	2912
239	917	2903
240	920	2897
241	923	2891
242	926	2887
243	929	2880
244	932	2874
245	935	2867
246	938	2861
247	942	2858
248	945	2851
249	947	2843
250	950	2836
251	953	2831
252	956	2824
253	959	2818
254	961	2810
255	964	2804
256	968	2799
257	971	2794
258	974	2786
259	976	2780
260	979	2773
261	983	2769
262	985	2762
263	988	2755
264	990	2748
265	993	2741
266	997	2737
267	1000	2731
268	1002	2724
269	1004	2716
270	1007	2711
271	1011	2706
272	1013	2699
273	1016	2693
274	1018	2685
275	1020	2678
276	1024	2673
277	1027	2668
278	1031	2664
279	1034	2659
280	1039	2658
281	1042	2655
282	1047	2654
283	1053	2655
284	1058	2654
285	1063	2655
286	1070	2659
287	1076	2662
288	1083	2665
289	1086	2660
290	1089	2654
291	1092	2649
292	1096	2645
293	1099	2639
294	1101	2632
295	1104	2627
