iter	RMSE
0	16.42758167
1	16.04139286
2	15.68134216
3	15.29954006
4	14.91572558
5	14.5488652
6	14.22784882
7	13.90070852
8	13.6524517
9	13.33091009
10	13.07600043
11	12.81520292
12	12.5775986
13	12.31750771
14	12.05024856
15	11.81797991
16	11.57108649
17	11.33357203
18	11.10030755
19	10.88950908
20	10.70684578
21	10.51996112
22	10.34700659
23	10.16646543
24	10.00285565
25	9.803539517
26	9.649642028
27	9.490106131
28	9.355656674
29	9.175331607
30	9.017133334
31	8.870036474
32	8.733658637
33	8.607673572
34	8.462687335
35	8.334693092
36	8.203167756
37	8.073189698
38	7.973892224
39	7.868803687
40	7.780877003
41	7.66768724
42	7.582449406
43	7.497471007
44	7.403695065
45	7.318694583
46	7.232206618
47	7.151232305
48	7.075377709
49	6.997554607
50	6.924852013
51	6.854879339
52	6.795099036
53	6.718334101
54	6.649683285
55	6.572267876
56	6.513702474
57	6.453830316
58	6.402166069
59	6.3448474
60	6.286379705
61	6.228147108
62	6.174824411
63	6.123462734
64	6.080547794
65	6.035643428
66	5.989733722
67	5.94361884
68	5.895462763
69	5.848507385
70	5.804283822
71	5.765445766
72	5.729043678
73	5.695831339
74	5.661920665
75	5.61924037
76	5.584645391
77	5.555194813
78	5.523728815
79	5.487100241
80	5.457436451
81	5.423990705
82	5.396986179
83	5.37372478
84	5.345630771
85	5.310759442
86	5.285633686
87	5.256172086
88	5.228811879
89	5.197428063
90	5.169676856
91	5.147185539
92	5.123120364
93	5.091815963
94	5.065551201
95	5.04448783
96	5.022124964
97	5.003952895
98	4.98471062
99	4.957992966
100	4.936147183
101	4.917181264
102	4.903080111
103	4.886410123
104	4.868025384
105	4.852832019
106	4.835236092
107	4.816640704
108	4.802361295
109	4.784760169
110	4.770464687
111	4.75308065
112	4.728223076
113	4.703477233
114	4.679312756
115	4.665951204
116	4.650032
117	4.639919687
118	4.621457002
119	4.605787433
120	4.593257437
121	4.574519859
122	4.559201488
123	4.539880864
124	4.52470485
125	4.512639654
126	4.497130241
127	4.481927922
128	4.466909233
129	4.450615961
130	4.438178479
131	4.423646469
132	4.409869514
133	4.398903019
134	4.387248829
135	4.369662814
136	4.358751576
137	4.341050482
138	4.33215978
139	4.32284428
140	4.31579566
141	4.302071606
142	4.291047408
143	4.28373426
144	4.273069968
145	4.26585401
146	4.254278441
147	4.244681227
148	4.234675753
149	4.226526427
150	4.213889008
151	4.204455336
152	4.191860489
153	4.18814875
154	4.176431448
155	4.166221964
156	4.156181811
157	4.146186876
158	4.140620949
159	4.131289788
160	4.115503453
161	4.106395263
